created_at,views,likes,category_clean,title_clean,content_clean
2026-08-14,0,0,아이템,헥환 8만 목표 과금 어느정도 해야할까요?,"계곡 시즌 끝나가면 헥환 8만 목표로 과금해보려고 하는데, 과금은 여기서 한 2500-3000억정도 더 하려고 합니다.(그 이후로 보스 천천히 즐기면서 헥환 올려보고 싶습니다) 1. 전반적인 방어구랑 장신구 어떻게 바꿔야할지 칠흑 18성 레에, 여명 22성 레에로 하면 될지 등.. 장갑은 에테 크주주 정도면 될까요? 전반적인 템셋팅 여쭤봅니다. 1-1. 거공이랑 루컨마 유에 윗잠 24퍼인게 좀 찝찝해서, 이거 윗잠 30퍼로 갈아끼워야할꺼요? 27퍼는 별로인가요 2. 제네 무기 에디 21퍼를 못띄워서 대적자 큐브로 띄누려 하는데, 무기랑 보조가 둘다 보보보 35.30.30이라 윗잠 돌려야할까요..? 그리고 엠블은 미트라 윗잠 공 24퍼에 크리 9퍼인데 공 30으로 바꿔야할까요(궁수라 크리도 유효한걸로 보이긴 합니다) 3. 저 과금 안에 조각도 사야할 것 같은데, 몇억정도 조각에 투자해야할지. 지금 자석펫은 주황버섯 1개인데, 사냥 자주 안하면 5석펫이나 야누스 만렙 안해도 되겠죠? 챌섭에서 야누스 20렙 수입해올 예정입니다. 4. 유챔이나 부캐 285작 안해도 되나요? 281 닼나랑 렌 있는데 해방만 해놨고 헥환 4만정도입니다."
2026-08-14,0,0,직업,유뇬작이랑 링크작하려는데,목표는 유뇬 8000++인데 테라/메가 버닝 부스터에 챌섭 2자리 정도 남아서 사냥 힘든애들 거기서 키우려는데 님들은 200작하면서 사냥하는거 누가 제일 힘들었었음??
2026-08-14,0,0,아이템,출석 보돌만 하다가 제대로 복귀해보려하는데 템셋 질문좀여,이거 뭐부터 손봐야할지 모르겠네여
2026-08-14,0,0,직업,부케소마 214 200 짜리두마리인데,부케 소마가 두마리인데 214 200 짜리 히어로키우고싶어서 근대 케릭터창 자리가없는데 1나지워도 지장없죠 ??
2026-08-14,0,0,아이템,템 가격좀 책정해주실분 계신가요ㅠㅠ,안녕하세요 메린이 질문드립니다..! 혹시 이 템은 팔려고하면 얼마정도가 적정가일까요?
2026-08-14,0,0,기타,컴터 자꾸 팅겨여,8기가램이라 그런가 이거 최적화 방법있나여
2026-08-14,0,0,아이템,제네무기 에디 고민 유니크 15 vs 레전 등업,게임 오래할거고 본케입니다. 템환 6만이구요.. 대적자 에디큡 돌리다가 레전 가버렸는데 레전 공 1줄 떠도 12%니까 무조건 등업이겠죠
2026-08-14,0,0,아이템,어떤게 더 좋은가요 직업운 렌입니다,원래눈 왼쪽옵션인데 오른쪽이 떴습니다 어떤게 더 좋을까요
2026-08-14,0,0,아이템,유챔 하드 세렌급 보조 스펙 질문 있습니다!,"복귀 유저라 유챔을 안해봐서 어느 급을 써야 될지 고민인데 혹시 이 셋 중에서 골라도 될까요? 방어구는 에테12 유에 둘둘에, 장신구 17 유에 둘둘 생각하고 있습니다! 무기랑 엠블렘, 헥사 강화는 2년전에 키웠던거랑 현재 이 정도 입니다. 레에 공21 뎀9 / 공9 - 13억 (관세 o) 레에 공21 보공30 / 공6 - 48억 (관세 o) 레유 공21 보공30 / 공15 - 71억 (관세 o) [이미지] [이미지] [이미지]"
2026-08-14,0,0,기타,동전꼽기가 운영정책 위반인지 여부,"메이플 인게임 자체 필터키 기능을 활성화한 상태에서 shift키에 5~10초 쿨타임을 가진 스킬을 등록한 다음, 동꼽으로 키보드 오른쪽 shift키의 눌림 상태를 유지하도록 하고, 그 상태에서 왼쪽 shift키를 2~3번 연타하면 제자리 1분 방지 룰을 무시하고 동꼽이 8분 이상 유지됩니다. 원래 캐릭터가 제자리에서 1분 이상 동일한 스킬을 반복하는 경우 스킬 사용이 중단되지만, 위 방법으로는 스킬의 시전횟수가 100회에 도달할 때까지 유지되는 것으로 보입니다. * *가령 쿨타임이 5초인 경우에는 5×100=500초(8분 20초)간 지속, 7초인 경우에는 7×100=700초(11분 40초)간 지속 위와 같은 플레이가 문제될 수 있을까요? 아니면, 이미 유저들이 널리 사용하고 있는 방법일까요? 첨언해서 위 게임 플레이 방식이 “권장되지 않는 플레이 방식”인지를 고객센터에 문의했을 때 “운영정책과 관련된 내용에 대해서는 명확하게 안내하기 어렵다”는 취지의 답변을 받았습니다. 따라서 일단 대다수 유저가 위 방식을 사용하고 있다면 큰 문제는 없을 것으로 생각되므로 질문 글을 남깁니다. [2026.8.14.18:15 추가] 질문 내용은, 단순히 동꼽이 운영정책 위반인지 가 아니라, 위와 같이 인게임 필터키(스킬반복입력향상)+shift키+짧쿨 스킬을 조합해서 사용했을 때 동꼽이 8분 이상 유지되는 것이 문제될 수 있는가 하는 것입니다. 일반적으로 단순 동꼽은 1분 이상 유지되지 않습니다."
